Student Name,Roll No,Maths,DS,TOC,DBMS,Java
Sai Srivastava,CS2024113,37.36,87.15,42.05,54.45,83.35,86.84
Advait Patel,CS2024114,54.09,95.77,55.34,31.89,45.56,68.89
Amit Pandey,CS2024115,91.84,95.8,62.23,96.3,47.79,50.11
Pooja Gupta,CS2024116,66.89,34.67,56.6,40.8,31.22,32.22
Divya Tiwari,CS2024117,74.24,46.45,72.41,38.29,83.7,60.95
Divya Patel,CS2024118,79.04,32.92,60.02,42.36,54.47,33.67
Komal Malhotra,CS2024119,82.31,95.53,36.54,75.68,42.87,75.52
Ishaan Rajput,CS2024120,68.3,33.02,71.22,86.25,94.53,90.56
Amit Tiwari,CS2024121,80.47,92.53,50.19,82.09,83.16,55.82
Divya Yadav,CS2024122,53.34,99.5,92.69,32.22,50.51,70.5
Ananya Joshi,CS2024123,83.66,66.55,32.96,77.34,59.27,49.68
Pooja Saxena,CS2024124,85.4,53.1,51.82,77.63,61.39,54.58
Aditi Patel,CS2024125,62.79,41.08,75.05,53.8,59.14,90.97
Shaurya Kumar,CS2024126,35.49,78.68,40.69,33.57,75.17,77.36
Dhruv Yadav,CS2024127,49.91,64.08,40.12,86.52,36.52,48.32
Shreya Singh,CS2024128,56.57,78.08,47.92,62.92,98.9,89.83
Pranav Singh,CS2024129,91.22,96.13,80.78,82.54,57.44,47.34
Aarush Kapoor,CS2024130,41.38,49.59,80.57,87.05,65.69,54.55
Aanya Yadav,CS2024131,87.41,55.63,53.89,36.27,42.19,73.39
Aanya Kumar,CS2024132,70.4,90.99,49.59,73.79,75.41,47.25
Riya Tiwari,CS2024133,93.86,90.69,62.56,43.81,32.99,94.77
Isha Joshi,CS2024134,46.32,78.47,69.49,86.47,71.68,92.51
Aarav Chauhan,CS2024135,55.3,64.65,48.86,54.05,48.16,87.03
Swati Srivastava,CS2024136,75.35,91.75,86.5,40.23,64.75,57.2
Ritvik Tripathi,CS2024137,91.89,38.28,55.72,97.88,55.47,61.22
Ritvik Singh,CS2024138,87.06,91.06,90.96,41.23,65.06,49.74
Shaurya Tripathi,CS2024139,30.38,62.71,30.79,72.85,31.84,78.19
Siddharth Kumar,CS2024140,33.24,59.21,34.12,48.26,36.18,63.85
Kunal Sharma,CS2024141,64.43,63.71,86.02,38.63,99.76,91.72
Meera Gupta,CS2024142,47.88,52.62,67.81,71.4,64.56,76.59
Aditi Kapoor,CS2024143,35.85,60.41,57.41,44.29,66.04,47.49
Pallavi Singh,CS2024144,34.17,57.31,86.85,71.18,38.1,53.05
Aditya Rajput,CS2024145,62.16,39.96,69.57,32.63,90.0,36.63
Pranav Patel,CS2024146,93.21,72.38,50.99,97.7,78.6,98.92
Amit Patel,CS2024147,39.61,82.08,49.8,47.59,54.97,69.5
Karan Kapoor,CS2024148,91.01,75.79,52.86,69.75,77.62,63.55
Pooja Patel,CS2024149,57.88,66.04,35.01,79.93,48.02,30.02
Reyansh Verma,CS2024150,40.5,42.22,68.97,59.91,91.54,47.39
Arjun Mishra,CS2024151,86.79,57.98,91.43,96.2,41.96,48.99
Tanvi Chauhan,CS2024152,42.58,40.17,54.5,67.73,36.0,45.71
Pooja Pandey,CS2024153,79.78,57.44,45.9,75.66,55.37,31.28
Simran Pandey,CS2024154,88.95,60.26,95.77,86.04,30.6,79.61
Aditi Chauhan,CS2024155,90.98,81.48,58.58,40.78,74.23,85.7
Advik Chauhan,CS2024156,39.08,73.93,66.28,31.03,48.88,94.89
Kunal Chauhan,CS2024157,88.42,75.74,90.59,64.49,86.56,55.67
Karan Sharma,CS2024158,57.43,37.7,30.62,80.72,53.16,49.9
Priya Sharma,CS2024159,38.34,53.15,51.35,97.43,40.36,49.5
Rohan Kumar,CS2024160,44.41,40.59,44.69,47.44,56.89,33.25
Advait Shukla,CS2024161,49.83,81.19,84.72,31.22,74.08,71.19
Pallavi Srivastava,CS2024162,86.68,98.08,57.85,85.7,53.38,30.6
Ishaan Mishra,CS2024163,50.54,92.91,80.37,30.76,68.92,55.57
Tarun Sharma,CS2024164,54.92,92.97,35.07,92.2,43.98,70.86
Rahul Patel,CS2024165,54.53,84.66,59.78,86.36,86.38,65.26
Diya Pandey,CS2024166,63.62,71.17,30.41,46.6,38.17,52.96
Ananya Tiwari,CS2024167,45.84,84.62,79.6,33.24,52.92,82.01
Sai Rajput,CS2024168,31.35,76.48,75.17,32.51,75.56,92.2
Pallavi Tiwari,CS2024169,32.89,60.3,34.93,82.57,59.12,31.68
Kunal Mishra,CS2024170,32.61,46.87,78.56,98.08,70.17,92.76
Diya Tiwari,CS2024171,33.07,81.8,77.04,93.46,99.9,86.65
Advik Malhotra,CS2024172,62.57,30.58,69.71,66.65,37.08,65.61
Aarush Dubey,CS2024173,49.28,48.0,68.28,79.33,78.7,54.0
Vihaan Kapoor,CS2024174,90.92,69.53,41.77,83.03,41.29,32.44
Kabir Chauhan,CS2024175,68.81,30.74,65.23,74.95,92.69,54.35
Komal Tiwari,CS2024176,48.43,88.88,45.8,35.96,74.72,78.17
Priya Dubey,CS2024177,59.94,54.45,39.86,58.3,68.56,34.92
Sai Shukla,CS2024178,99.73,88.37,98.37,40.71,92.93,60.68
Pranav Dubey,CS2024179,87.05,36.98,82.46,81.83,83.62,50.91
Kabir Tripathi,CS2024180,63.6,72.72,58.05,68.38,38.61,46.79
Advik Verma,CS2024181,51.67,57.87,40.3,72.56,96.57,36.14
Siddharth Chauhan,CS2024182,41.05,30.58,35.81,54.0,49.93,50.44
Neha Saxena,CS2024183,92.39,48.19,93.42,45.34,73.56,42.52
Kunal Srivastava,CS2024184,51.02,51.07,30.47,32.66,54.29,41.82
Aanya Chauhan,CS2024185,43.98,72.19,82.38,97.02,73.69,45.67
Simran Verma,CS2024186,61.24,36.8,54.1,41.22,43.82,72.3
Vihaan Joshi,CS2024187,32.18,55.83,37.4,81.21,45.92,36.94
Kunal Rajput,CS2024188,67.72,52.09,54.78,73.87,52.32,73.17
Varun Patel,CS2024189,43.51,80.27,42.46,66.11,79.35,90.74
Amit Malhotra,CS2024190,32.27,75.68,49.88,83.25,62.18,73.95
Neha Patel,CS2024191,41.72,43.52,59.96,63.42,56.64,56.67
Atharv Singh,CS2024192,40.76,61.37,74.0,53.04,65.73,78.86
Reyansh Patel,CS2024193,91.52,37.69,40.67,35.49,95.55,90.67
Atharv Tripathi,CS2024194,50.74,77.87,40.24,64.48,90.52,52.53
Ananya Tripathi,CS2024195,46.62,78.57,80.81,76.29,65.42,36.26
Krishna Joshi,CS2024196,42.74,83.89,49.0,65.75,30.93,49.59
Krishna Gupta,CS2024197,58.51,44.7,64.26,89.26,57.63,79.79
Sai Tiwari,CS2024198,83.45,48.22,83.63,69.32,77.21,94.3
Aditi Joshi,CS2024199,32.11,51.31,38.64,62.08,86.32,31.19
Arjun Tiwari,CS2024200,93.86,68.78,98.2,40.98,88.64,30.17
